index,name,score,dtm,text,app_name,text_length
14800,鄒淑美,1 顆星,2022年4月7日,超難用，掃收款碼的專區，帳號資訊還打馬賽克，QRcode也無法分享出去，根本沒在考慮使用者的體驗，糟到不行,元大銀行 Yuanta Commercial Bank,53
20192,eva Lin,5 顆星,2023年5月31日,一切變得很方便呢，在家就能搞定所有的fu。,玉山行動銀行,21
23417,昌仔,3 顆星,2023年4月4日,目前版本為8.6.6版，依然無法登入使用，麻煩處理,台新銀行行動銀行,25
8535,Andrew Shih,1 顆星,2022年3月12日,20220312，11：37，打開App 叫我更新到最新程式，進入Google Play，什麼都沒有，也不讓我開App。,中國信託行動銀行 Home Bank,60
14618,JiHung Lin,2 顆星,2022年8月8日,貴公司有沒有計畫請人再重做一下app...一直閃退是還滿誇張的...google play商店應該有版控...貴公司要不要先恢復一版穩定的，不然真的很糟...,元大銀行 Yuanta Commercial Bank,79
30212,魚酥,5 顆星,2023年8月10日,很容易上手與操作的app，清楚、簡單、好用，希望可以再增加一些帳務的備註欄,樂天國際商業銀行,37
14105,Dean Shueh,1 顆星,2024年3月18日,系統很差，經常就 “跑死了”，轉個不停。然後下次指紋輸入就被拒絕了，要求重新設定。我打電話問客服，被問一堆個人資料，沒完沒了。 是元大系統的問題，就事論事回答就好，問題不解決，只在調查個資？很煩。,元大銀行 Yuanta Commercial Bank,98
19818,bajatw Lin,2 顆星,2023年8月29日,用google play還是不能更新，真是無言！,玉山行動銀行,24
22325,io jot,1 顆星,2021年8月19日,都沒有line入帳通知，轉帳還要開app有沒有入帳成功，很不方便,合作金庫銀行,32
8108,張克霖,1 顆星,2022年3月15日,更新後速度慢到誇張，越更新越慢，不如不要更新了。,中國信託行動銀行 Home Bank,24
8013,Wu Bella,1 顆星,2022年3月16日,站在ATM前要領錢才知道要更新，更新又慢到火都要炸了！更好了進去，整個畫面全部改變，QR鍵整個被藏的像秘密一樣，設計的人是腦子進水嗎？！從原本最方便的網銀要步入最難用是你們的目標嗎？！,中國信託行動銀行 Home Bank,92
31397,陳建州,3 顆星,2021年10月11日,在交易記錄查詢中“付款”和“收款”設定查詢區間有註明最長可查詢6個月的資料，但是無論如何改都只會綁定最近一個月的資料，請幫忙修正…謝謝,臺灣銀行-網路銀行隨身版,67
28911,WEU JUN,1 顆星,2023年8月22日,爛東西，根本不能線上使用，還要到分行，什麼垃圾app，不會合併不要合阿！去剪卡，爛爆,DBS digibank TW 星展行動銀行,42
22733,李瑞育,1 顆星,2024年1月1日,為什麼更新後之後都不能用了也可以打不開進不去畫面又跳出來,凱基銀行,28
21320,Dino Dino,1 顆星,2022年2月2日,今天更新後就常常登不進去，不然就是出現空白畫面，等了很久也沒辦法進入,玉山行動銀行,34
24865,林松熹,1 顆星,2023年11月30日,今天想登入 結果一直顯示載入中 完全無法使用,Richart,22
21253,聖祥吳,1 顆星,2022年2月20日,非常爛的更新，原本還能使用，更新完後完全不能用，無法登入，使用者名稱密碼忘記，點選忘記密碼，結果還要我登入，就忘記了怎麼登入，如果記得我還要點選忘記密碼嗎…真的爛透了,玉山行動銀行,83
7062,CJ HONG,2 顆星,2022年6月17日,不知為何近期一直無法更新，手機是 oppo reno5,中國信託行動銀行 Home Bank,27
6627,R Hsu,3 顆星,2022年8月31日,1.手動換匯部分是否可以更便利，不要這麼多步驟，能儲存帶入上次換匯的資料，直接點選或者指紋辨識即換匯。 2.自動換匯部分是否能指定幾點執行，而且不要規定最低換匯金額台幣1000元，至少降低一點，比如10美金即可換匯。,中國信託行動銀行 Home Bank,108
23111,吳思佑,3 顆星,2022年10月21日,信用卡卡友並沒有可以只查詢的功能，與官網說明不符,凱基銀行,24
22369,廖怡貞,2 顆星,2021年6月15日,進入畫面都要等好久 登入都登入不了 常常更新不知道更新什麼的,合作金庫銀行,30
18458,CJ Soong,2 顆星,2023年5月6日,怎麼把截圖功能取消了，這樣轉帳後沒單據可以可提供給對方，請加上去截圖功能設定。,華南銀行+,39
16622,陳昇錩,3 顆星,2023年8月24日,快速登入的loading有問題，感覺是資料庫讀取問題請修復謝謝,永豐行動銀行,31
7548,Jonas Tsai,4 顆星,2022年4月11日,"""請問您是否要將中信 Home Bank APP 推播功能設定到此行動裝置上? (若按取消，本裝置將不會收到推播訊息)"" 上述這訊息每次登入都要跳出來，取消怎麼按都沒有用，是強迫一定要按確定？ 就算我在其他手機有啟用，我這手機不啟用不行嗎？ 中信回應： 您好，推播功能會綁定您的登入訊息，若更換手機登入，就會顯示提示訊息是否更換手機推播，謝謝。 進一步問題是：我換了手機，到底怎麼把那個討厭的訊息關掉？都沒有任何提示呀. 客服回答：您好，推播功能會綁定您的登入訊息，若更換手機登入，就會顯示提示訊息將推播到此行動裝置，謝謝。問題：所以除了按確定以外，沒法把那訊息關掉？也就是說，沒法取消推播到手機的功能？",中國信託行動銀行 Home Bank,302
26300,BANHO BAN,5 顆星,2022年2月4日,用了很多年很好用的app 希望趕快更新安卓12版本的指紋辨識登入 不然很不方便,Richart,39
22242,松,1 顆星,2021年12月16日,開戶感覺很差，能的話真的不用去現場，建議開網銀帳戶在家用就好，我就要回家自己網路開戶，她們就說那很快要請我等她們，等待及流程前後搞了一個小時，還一直霸佔我手機輸入東西還硬要開台灣pay輸入推薦碼，想也知道為了業績但不用拿那些話術來X顧客…,合作金庫銀行,119
25487,Tsai nung Lu,1 顆星,2023年5月6日,開個戶拖拖拉拉，補件補了一星期也沒消息，打去客服問說什麼一直卡在沒收到補件，是要補幾次才會收到？幹嘛不直接APP補件就好,Richart,60
18745,徐老三,1 顆星,2022年11月1日,無法認證，72小時聯絡客服 但是客服永遠忙線中 爛透了。,華南銀行+,28
31338,小正,1 顆星,2021年11月22日,一直通知活動是做什麼？想趁機打廣告也不是這樣的，非要我停止用你們銀行就對了？,臺灣銀行-網路銀行隨身版,38
31059,曾郁中,1 顆星,2022年7月1日,轉出帳號都空白是要怎麼選擇帳號 垃圾一堆bug,臺灣銀行-網路銀行隨身版,23
4041,sherry Chao,1 顆星,2022年1月7日,現在的評論，是針對今天才「更新」的電腦版，強烈懷疑IT工程師沒有親身使用過投資軟體，改版後爛的要死，要查的資料都查不到，一堆沒用的資訊妨礙查詢，越改越難用，你們找的IT人員，是專門整用戶的嗎？,國泰世華網路銀行CUBE,96
17243,御兔,2 顆星,2022年9月3日,轉帳後要截圖，可以把轉出帳號秀出來嗎？不然要自己打字上去，好麻煩。,永豐行動銀行,33
28898,黃睿澄,2 顆星,2023年8月23日,轉換的有夠爛== 原花旗銀行帳戶不給註冊，也不能登錄，說電話不能認證，還要跑臨櫃。。,DBS digibank TW 星展行動銀行,42
23061,wa H,1 顆星,2022年10月26日,比舊版還難用！ 跑得慢還多了一些有的沒的步驟… 完全沒優點耶，還不如換回舊版！,凱基銀行,39
2412,鄭燕蓮,1 顆星,2022年9月18日,9/16改版後，功能和e櫃台比差很多，很糟糕，更非常難用，請改善。,國泰世華網路銀行CUBE,33
18046,pika pika,3 顆星,2024年1月17日,更新後就登不進去了，而且還一直跳出視窗叫我更新...,華南銀行+,26
25062,許文耀,1 顆星,2023年9月1日,還不如不改版，改了更新完直接開不了是哪招，我急著轉帳欸-.-裡面設計的怎樣我不管，但至少能讓大眾都很順利的開啟吧-.-,Richart,59
30242,Liyu Chia,5 顆星,2023年5月26日,一個月要消費5次才有1.35%活儲利率 不要被騙了,樂天國際商業銀行,25
21882,米米蟲,1 顆星,2023年6月13日,用的很火大 明明存摺寫下載專區但是不能下載 而且為什麼我有兩個帳號？哪個是真的？ 找一個功能找很久,合作金庫銀行,49
10767,T,1 顆星,2023年7月15日,APP已更新到最新版，但還是一直顯示要更新無法使用🙄,富邦行動銀行,26
29665,20 86,5 顆星,2022年9月27日,1. 邀請碼：NXWCN，可以拿到200點等於200元，可直接設定抵扣付款 2. 5%消費高回饋 3. 3.1%（6萬內）高利活存 推薦使用,將來銀行 NEXT BANK,70
14463,Liang Michelle,1 顆星,2022年11月6日,原本可以正常使用 但近兩個月完全沒辦法打開app,元大銀行 Yuanta Commercial Bank,24
19885,廖清筆（小比 筆）,3 顆星,2023年8月5日,App的功能太多 使得功能很難找 每次用都會找功能找到迷路,玉山行動銀行,29
22985,Drinking Chang,1 顆星,2022年11月6日,速度慢，一直當機，更新後設定都不見，難用，不順手，很糟糕的使用體驗，超級爛，緊急要轉帳，收不到opt 簡訊，無法轉，爛,凱基銀行,59
24133,William Lee,1 顆星,2022年1月25日,"原本指紋辨識登入用的好好的 更新完完全沒辦法用 指紋辨識只要成功就會挑掉 這個問題已經1,2個月了 以為內部更新完就沒事 結果一樣不行 垃圾app…",台新銀行行動銀行,74
22176,雨情,2 顆星,2022年4月9日,每次第一次用指紋辨識都不能一次成功，都要式很多次能改善嗎？,合作金庫銀行,29
23453,HJ,2 顆星,2023年3月9日,這兩天更新後，轉帳操作到最後輸入密碼處，無法輸入致無法轉帳，請盡速改善，謝謝！,台新銀行行動銀行,39
864,Leo Chen,1 顆星,2023年8月14日,開卡錯誤一直開卡錯誤，語音的也不行App 也不行，有夠爛的,國泰世華網路銀行CUBE,29
28700,Una Wang,5 顆星,2021年12月13日,口袋帳號（活存）上線5萬年息2.2%，還有可以開立多個定期定額夢想帳戶，覺得蠻好的！推薦！,LINE Bank,45
545,匡吉涮燒鍋,5 顆星,2023年11月27日,南京東珞分行客戶關係經理理李志明服務非常好，專業優秀。 大推薦！,國泰世華網路銀行CUBE,32
12209,Stan Shih,1 顆星,2022年7月18日,爛透了 更新了兩天，還在轉圈圈。工程人員 無視就算了，連基本的主管也無視這個APP的狀況，無法進入程式，無法查詢現有的流通金額，這是嚴重的現實。一定要逼著用戶用打電話的方式來查詢嗎？ 爛透了的 工程人員，糟透了的管理階層。,富邦行動銀行,111
9061,charlie tien,1 顆星,2022年1月8日,2022/01/08 13:05又不行轉帳 到底是怎樣 無法更新，也無法開啟原有APP 2021/11/26 又來了,中國信託行動銀行 Home Bank,58
15318,游明輝,4 顆星,2023年5月6日,與其郭明宗 所屬協會要媒合50歲的以上才不會跑 我跟本國籍女友一起就好 #反而台灣女孩子不會一直要錢 #台灣女孩子真的不會一直要錢 #台灣的年輕女孩子反而會在金錢上幫你 #11年前我的台灣籍女朋友18歲 #11年後我的這台灣籍女朋友我認識他的時候也是18歲 #我為什麼要讓郭小弟弟搞50歲的來 #50歲的說不定也會騙錢與其郭明宗 所屬協會要媒合50歲的以上才不會跑 我跟本國籍女友一起就好 #反而台灣女孩子不會一直要錢 #台灣女孩子真的不會一直要錢 #台灣的年輕女孩子反而會在金錢上幫你 #11年前我的台灣籍女朋友18歲 #11年後我的這台灣籍女朋友我認識他的時候也是18歲 #我為什麼要讓郭小弟弟搞50歲的來 #50歲的說不定也會騙錢,第一銀行 第e行動,318
23605,陳奕齊,1 顆星,2022年10月4日,廣告與實際體驗不符，裝置認證後依然不能轉賬，臨櫃查詢說系統不知道預設什麼東西打勾沒取消，櫃員又重新用裝置認證，結果裝置認證一天只能一次，等了一天，重新裝置認證後依然不能轉賬，再次臨櫃詢問，並已經說明前一天的狀況，結果櫃員又再次重新用裝置認證，一樣說系統預設有地方打勾沒取消掉，然後現在又要再等一天，一樣的問題兩天處理不掉，還不確定明天是不是又一樣。,台新銀行行動銀行,174
15631,ミル的 大 J J 。,3 顆星,2022年4月18日,小工具明明就幾個選項 卻佔了一堆空間 還比前一版的還大又不給調整大小 沒見過這麼反智的設計,第一銀行 第e行動,45
14456,林郁珊,1 顆星,2022年11月9日,一登入一直卡在100% 存好股 找元大畫面。無法登入使用app，造成困擾，若一直無改善，考慮轉換其他銀行！,元大銀行 Yuanta Commercial Bank,53
7664,MingMing Wun,1 顆星,2022年4月1日,改版後超級慢，而且不直覺。看回應都是罐頭回應，說會持續優化。特別上來給一星負評。 等真的優化回到以前再改評價。,中國信託行動銀行 Home Bank,55
18598,南箱根,1 顆星,2023年1月5日,別人轉帳給我的通知都沒有收到，以前都會有通知。 沒有關到通知設定，別在官方制式說法了，爛。,華南銀行+,45
4463,貞詅王,1 顆星,2024年2月16日,一直無法連線，請稍後再試，已經兩天了，還是無法連線，真的很爛,中國信託行動銀行 Home Bank,30
15407,黃柔雁,1 顆星,2022年11月26日,無法使用 一直顯示伺服器無法連線，請確認網路連線是否正常 明明網路就有開啊！！！嘗試很多次都一樣 即便重新安裝也是！！！,第一銀行 第e行動,60
14744,上善若水,1 顆星,2022年6月20日,更新後打不開。重新安裝後，設定掃描付款一直顯示開啟手機生物辨識與安全性，全部都打開了一樣顯示開啟手機辨識與安全性。不如不要更新，越更新越不方便。 決定換家銀行,元大銀行 Yuanta Commercial Bank,79
8302,張yueh wan,2 顆星,2022年3月12日,奇怪要開app，出現有更新，但是已經是更新後了，怎麼會關不掉更新畫面的小框框，完全無法使用app！,中國信託行動銀行 Home Bank,49
23391,蛋炒飯,1 顆星,2023年5月4日,爛app突然沒記憶密碼 伺服又無回應 爛系統,台新銀行行動銀行,22
3121,Yuuhi Mori,1 顆星,2022年5月8日,截圖功能沒有隱藏餘額，以前有自動隱藏，今天發現擷取畫面後餘額依然顯示，看了好幾次設定都不知道在那邊設定，而且依然沒通知！購物平台顯示付款成功，但打開app並沒有顯示推播紀錄，等多久都沒有，你app就沒有東西手機怎麼可能有通知來？非要在和line連結才勉強算能及時看到帳戶異動，每次說到這種問題你們就要說是顧客手機問題要人打客服，請問網路拿來幹嘛的？嘖！,國泰世華網路銀行CUBE,176
11080,劉顯,1 顆星,2023年7月14日,一直說憑證過期請更新，但是商店已經是最新版了，直接不能用，很不方便。,富邦行動銀行,34
26576,嘉義胖胖水電,5 顆星,2021年11月16日,拜託請不要限制萬用罐的使用次數太不方便了。,Richart,21
11440,大偉楊,1 顆星,2023年5月14日,每次登入就只會轉，轉，轉，爛死了，登入還要輸入一堆，還每一次都要，快速登入就只會轉，轉，轉。,富邦行動銀行,46
18037,yu ju,2 顆星,2024年1月21日,付款碼總在需要使用時 轉圈圈 而且不時需更新,華南銀行+,22
19235,恒嘉許,1 顆星,2024年2月19日,無法下載明細，這個不用確認就是app沒有下載明細的功能,玉山行動銀行,27
29565,小賀,5 顆星,2022年11月29日,"申辦帳號時可以輸入我的邀請碼""4YBNY""哦，順便可以賺點數~",將來銀行 NEXT BANK,31
14227,呂姵宸,1 顆星,2023年8月26日,最近都無法開啟，一按就閃退，造成我很大的困擾，是有什麼問題嗎？別的app都沒問題，用別的手機開啟也可以，是我手機的問題嗎？,元大銀行 Yuanta Commercial Bank,61
12667,李曉嵐,5 顆星,2022年3月25日,行動網路銀行做的還不錯，個人蠻喜歡這樣的直覺介面，搜尋觀賞都很便利。,富邦行動銀行,34
291,hi john,1 顆星,2024年1月19日,問智能阿發，一直被踢掉要重登，最後app crash,國泰世華網路銀行CUBE,26
26128,霜霜,4 顆星,2022年3月26日,可以不要更新都是強制的嗎？又很難下載😑 臨時想查餘額要等很久 更新 強制更新有改善了,Richart,42
5197,ALEXANDER TSENG,4 顆星,2023年8月2日,S23+不能臉部登入 真的不行 你拿一支試就知道了,中國信託行動銀行 Home Bank,25
11948,廖冠涵,5 顆星,2022年10月25日,建議推播通知的時候，可以更簡明扼要，例如直接寫出帳戶出款多少元，而不是還要用戶登入app才能得知，謝謝。,富邦行動銀行,52
29807,3000 hjj,5 顆星,2022年6月28日,我的邀請碼：LE4JF 輸入即送200元N點,將來銀行 NEXT BANK,22
10231,人蛙殊途,1 顆星,2023年7月15日,一直要人更新，又沒更新檔，到底給不給人用啊！,富邦行動銀行,22
17623,月光騎士,1 顆星,2021年11月24日,更新完連登入也無法 爛死了 不會更新讓人難用 搞什麼飛機,永豐行動銀行,28
14091,郭映廷,2 顆星,2021年7月10日,希望信用卡會員也可以使用快速登入，指紋辨識或是臉孔辨識,兆豐銀行,27
21920,王iv,1 顆星,2023年4月9日,為何 現在 合庫數位帳戶 無法使用 自然人憑證 來申請？？？到底為何？？！,合作金庫銀行,37
12604,蔡榕恒,1 顆星,2022年4月9日,目前無法本行系統取得連線blah blah blah...,富邦行動銀行,29
28999,漫畫迷,1 顆星,2023年8月14日,我原本是花旗銀行 要轉 註冊說什麼要與附近分行辦理 真的好爛,DBS digibank TW 星展行動銀行,30
10725,Steven國誠,1 顆星,2023年7月15日,Asus ZenFone 9 根本無法登入 擾民,富邦行動銀行,24
14119,Yevone Shen,1 顆星,2024年3月11日,無法登入，卡登。會跳請檢查通訊環境與設備，但登入元大投資先生則很順暢。其他銀行app也無虞。,元大銀行 Yuanta Commercial Bank,46
17776,lian lian,1 顆星,2021年7月11日,更新後，圖形登入變得很難劃，每次都要試好幾次才會感應成功....,永豐行動銀行,32
29651,yj CC,3 顆星,2022年10月4日,功能很少，沒有預約轉帳，希望之後可以完善功能,將來銀行 NEXT BANK,22
24979,yorK chang,1 顆星,2023年10月13日,更新完一直卡在載入中進不去，卸載，重安裝也一樣,Richart,23
14165,默默,1 顆星,2024年1月7日,快速登入常常出現很慢出現，有時也出現兩次指紋認證，沒對好就警示錯誤。,元大銀行 Yuanta Commercial Bank,34
4286,陳瑋俊（毛豚）,1 顆星,2024年4月4日,從昨天下午開始一直無法連線，查了下新聞說已修復？？修復在哪？,中國信託行動銀行 Home Bank,30
18540,Gary Chou,2 顆星,2023年2月6日,Sny數位帳戶申請到一半就強制跳出了，程式有問題,華南銀行+,24
29580,Mika Zhang,1 顆星,2022年11月22日,申請這家的活儲卡，電話過來問一大堆隱私問題，個別拒絕回答就給申請不通過，正好懶得用你們的APP，剛開的銀行服務差到不行。,將來銀行 NEXT BANK,60
1262,Mingder Yao,1 顆星,2023年4月11日,想要安裝的感覺隨著等待安裝的時間而降到冰點。只能放棄了！ 一星是被迫給的,國泰世華網路銀行CUBE,36
11633,陳維哲,3 顆星,2023年3月26日,系統還算好，但是信用卡很差，不知道摳門什麼，搞到要次月月底給（等於近二個月才給），誰知道上個月刷多少。,富邦行動銀行,51
9253,許米婭,1 顆星,2024年3月19日,為什麼要用使用代碼 又不知怎么用夠麻煩了只是交個帳單顯限出條碼不是更便利嗎,富邦行動銀行,37
91,楊智惠,5 顆星,2024年3月8日,謝謝非常棒的服務！已經下載更新！問題已解決！,國泰世華網路銀行CUBE,22
26035,Iris Chen,3 顆星,2022年4月27日,常常無法登入，每次都說網路有問題或是登入人太多，試了好幾次都是 但是網路完全沒問題 著急轉帳也沒辦法，全部卡住,Richart,55
28477,鄭至均,1 顆星,2022年4月7日,App剛更新完，一直轉圈圈，連使用都不能。打客服也沒人接，失望,LINE Bank,31
129,尤宛婷,1 顆星,2024年2月29日,手機：Vivo v27，一直閃退，完全打不開app，連登入畫面都看不到。用網頁版轉帳又必須進到app內，根本無法用啊,國泰世華網路銀行CUBE,58
24106,Guess Lin,1 顆星,2022年1月28日,請問為什麼都沒辦法更新，重新下載也是一直卡,台新銀行行動銀行,21
22294,朱少偉,1 顆星,2021年8月30日,一直轉圈圈也不知道在轉什麼，一個轉到天荒地老,合作金庫銀行,22
20943,Belmon,4 顆星,2022年4月18日,希望消費明細的部分，可以效仿LINE BANK的APP，ex. 4/18 消費100$ (未扣款)，記錄有無扣款的部分,玉山行動銀行,59
20470,陳宏文,1 顆星,2022年10月20日,最近一次更新後App無法開啓。每次點開啓App就顯示黑屏就停住，很困擾。,玉山行動銀行,36
