index,pred,text
24447,1 顆星,先前有使用快速登入(指紋辨識)誰知更新後登入app卻強制要我用fido !! 問題是我之前手機只有設定指紋辨識並沒有設定face id功能且我手機也不支援臉部辨識請問我要怎麼使用啊?
17101,5 顆星,快速簡便安全！
643,5 顆星,好用
6554,5 顆星,快速有效率
28562,5 顆星,非常優質的網銀希望常用帳號可以自己命名才不會搞錯folded hands
11284,5 顆星,速度快
23690,5 顆星,好用！……^o^
29163,5 顆星,很棒
20964,1 顆星,到底什麼爛更新 直接無法綁定查無資料
16246,5 顆星,ok
8429,1 顆星,今天需要使用一打開先要我更新更新完再開啟卻又要我更新再點進去到play商店已經是更新完的狀態了刪除app重新安裝還是要我再更新就這樣反反覆覆一直跳針都進不去到底是在哈嘍？
1554,5 顆星,還不錯目前只有用基本的銀行系統手機轉帳很方便過一陣子將進行財務規劃相信可以帶來不錯的體驗
8902,5 顆星,good
7233,5 顆星,好用
9471,5 顆星,方便明瞭
16279,5 顆星,好用
17343,1 顆星,請問一直都可以使用的app現在顯示要我重新安裝這到底是怎麼回事
15677,1 顆星,要求更新卻連兩天了都在等待中...一直無法更新！
26063,5 顆星,流暢的體驗
22363,1 顆星,無法登入
3208,1 顆星,爛死問題一堆
18425,1 顆星,無法轉帳
29000,1 顆星,進不去 花了二小時 輸入驗證碼後直接 變交易逾時未回應 完全進不去
4058,5 顆星,功能強大很好用配合cube卡可以切換套餐新版本畫面也很簡潔容易操作綠色好看眼睛不累！
5706,5 顆星,本來很方便好用但今天匯款給別人匯款快完成時突然顯示系統有問題並自己突然關掉整個被嚇到傻眼今天登入時就很不順一直顯示系統有問題要關掉重登我重登好幾次都自動跳出好不容易可以登入了但在匯款快完成時又自己顯示系統有問題並自己關掉真的被嚇到整個不知道有沒有把錢匯出去了還好後來查一下紀錄有匯款成功不然真的會很麻煩最近系統怪怪的我昨天登不進去上星期也一樣都顯示有問題並自己當機或跳出請你們檢查一下系統之前都超好用還好今天匯款最後成功不然真的非常麻煩
22022,5 顆星,非常讚
28002,1 顆星,我用原廠手機登入說我手機有root到底是什麼情況
24037,5 顆星,可以了謝謝
31460,1 顆星,從昨日至今皆無法更新。
13472,1 顆星,尚湏至貴行確認帳密問題因帳密寫入始終無法進入自己帳戶瞭解存放款內容。
21507,1 顆星,更新後變頓……
26495,5 顆星,好方便
3983,1 顆星,無法更新麻煩趕快維修移除之後變成無法安裝
15725,1 顆星,比其它更新耗費冗長時間看著轉圈圈產生反感越來越多！
9001,1 顆星,真的不要改些很爛的東西一直更新真的很麻煩。不要再什麼體諒了。
6364,1 顆星,要看帳戶明細還要更新app才能看還是第一次遇到這是什麼設定別家的都不會
17067,1 顆星,帳戶安全升級視窗只有提醒但是沒有確認鍵可以按一直卡在那邊是要如何升級呢？
19513,5 顆星,好用
8811,5 顆星,方便
8516,1 顆星,一直更新是哪裡有問題？都更新完了.....
27261,1 顆星,版本再度更新問題還是一模一樣完全沒解決請盡快處理app bug問題好嗎！綁定生物辨識就出現我沒有網路銀行功能不給我轉帳要移除綁定才可以正常轉帳結果登入時卻一直要我綁定生物辨識用到很生氣！ app更新及升級otp認證後轉帳出現沒有申請網路銀行功能！聯絡客服後要我先解除生物辨識改使用交易otp驗證。 很明顯是app bug的問題但截至今日app版本都更新兩次了都沒有完整處理app bug問題！依舊要解除綁定生物辨識才能正常轉帳真的非常困擾。
14308,3 顆星,閃退的情形已改善可人臉辨識登入
14414,1 顆星,好哦一直卡在用屁啊
22223,1 顆星,好爛！好難用的網路app從來沒想到過有這麼爛的
8608,1 顆星,已經最新版本一直要我更新。。然後跳出face with rolling eyes
24748,5 顆星,台新銀行很鑽啦
11941,1 顆星,操作一次動作就轉圈圈loading一次還會莫名閃退。繳個錢等每次loading載完花了快分鐘 評一顆星都嫌太高分
17130,5 顆星,順暢快速方便
20733,1 顆星,有夠垃圾我已經知道root對手機及使用需要高度加密的軟體會有什麼風險也特地把玉山銀行的app與root隔離隱藏其他家的銀行跟支付軟體都沒問題就你玉山最特別 想盡辦法偵測然後直接給你block難道就不能另外跳出一個tos告知使用者後果自負然後就放行嗎== 超級不方便的
14756,1 顆星,我更新note手機系統之後就打不開了 可以幫忙協助嗎？
9918,5 顆星,簡單易懂好用
20473,1 顆星,更新後不停的耗電沒有執行也在背景耗電手機還好跳出cpu連續使用超過負載昨天測試就算先將這app進行深度休眠一樣會不停耗電只能移除掉才會恢復正常
13304,1 顆星,打開後會要求先更新完才能使用如果急用還在那裡慢慢等嗎？真是智障的設計
18528,1 顆星,原來的好用多了何必搞個劣化的出來然後強制停掉原來比較好的那個？？？
21210,1 顆星,可以在家裡 做完成交易 但是 沒有 打電 但是 公司 沒有 簡訊 那我們 銀 所以 淘寶怎麼買
2764,5 顆星,方便
30310,5 顆星,元很棒
4076,1 顆星,登不進去
19994,5 顆星,讚喔！
17113,5 顆星,很讚
23256,1 顆星,這是一家服務非常差又爛的銀行而且對於是勞工存款戶存在很嚴重歧視要不是公司薪賺必需這家銀行說真的還真不想去以前還聽過行員盜賣存戶信息向此家銀行簽帳銀行卡卻不給辦現在一到領薪日就馬上將薪資全部轉到別家服務好的銀行免得受鳥氣!
31289,1 顆星,點入就閃退要查詢餘額不便
23399,1 顆星,改版改到歷史帳單都不知道去哪看
16734,1 顆星,變得一點也不簡便。就是有不同的門號在使用。也常常再換手機。你們已經脫離了初衷
21890,4 顆星,應增加小時均可轉定存和能修改定存到期續存別兩項功能。
11515,1 顆星,無法更新
28792,5 顆星,還不錯用起來算順暢
30236,5 顆星,edhfo是我的序號～kissing face with smiling eyeskissing face with smiling eyesrolling on the floor laughingrolling on the floor laughing
20763,5 顆星,good
25265,1 顆星,改回原本的介面！ 沒事找事做！ 白狗卡 弄得黑漆漆的 主管是有沒有在審啊 這樣企劃也可以過
2768,5 顆星,功能介面清楚好操作
31109,1 顆星,什麼也不能辦
5705,1 顆星,為什麼一直出現請重新關閉app後再開啟使用 已經關閉又重新開機還是一直出現loudly crying face
10010,5 顆星,好用
26090,5 顆星,很好用
18298,1 顆星,新增回應 不是我不是真的要問定位、相片影片、電話這幾個權限要做什麼而且你回應使用這些權限的都是非必要的功能掃描條碼需要的權限也是相機而非重要隱私的相片與影片。 正常的app應該是設定為使用者有這幾個功能需求的時候再要求權限不應該是一開始就強制使用者提供。 你自己看看其他銀行app台新、玉山、中信、富邦、line bank有提供跟你們類似功能的有哪個是即使不使用這些功能也強制要求使用者提供權限的？
13833,1 顆星,更新頻率高但更新完卻一點感覺都沒有根本不知道是更新在哪登入總是比別家銀行app慢基本每個月都會用來轉帳或線上繳卡費轉帳還算方便但信用卡區的功能除了線上繳費其他功能看的到用不到想查個各期帳單點了卻說未開放無法使用再者我都都用線上繳卡費可有時明明已繳過了但app卻還顯示未繳怕自己真的可能忘記繳了所以看到就又再繳一次這情況已不只一次發生了
8756,5 顆星,可以這麼方便真是好
9736,1 顆星,luckypay常常掃不出qrcode導致無法交易！盼改進
29913,1 顆星,看到什麼什麼約定書有頁直接移除
2164,5 顆星,good
22192,1 顆星,爛死了難用到不行有開轉帳功能但要轉帳時一直輸入不了帳號請問我是要怎麼轉
12643,5 顆星,很好
6070,1 顆星,app當機完全無法使用
3946,5 顆星,不錯
5361,5 顆星,直覺 方便
9129,1 顆星,無法使用
8237,1 顆星,新版變難用了請把qr code提款弄在首頁！就像上一版在右上角一樣。
6339,5 顆星,方便性十足！
26722,5 顆星,有bug改善很快 值得推
10865,1 顆星,不懂現在是怎樣？打不開叫人更新又更不了？line通知也連不上跟銀行聯絡也不了了之？？？比一般商店app還不順。
26464,1 顆星,無法更新
3266,5 顆星,客服中心說明很清楚
7763,1 顆星,轉帳有問題
24484,1 顆星,如果不會做app就不要隨便大改動 難用死了
28126,5 顆星,thanks share smiling face with smiling eyes
16394,5 顆星,畫面簡潔分明功能齊全符合人性化！
30669,3 顆星,建議自己的台銀數位帳號和台銀一般帳號間能視為約定帳號自由轉帳帳戶有出入帳不會通知也找不到相關設定。
26449,5 顆星,非常方便
14964,1 顆星,刪除舊的重新安裝新的後 卻仍一直重複顯示停機公告、更新、去電客服...等訊息去電後的客服語音系統有夠繁瑣且沒專責單位好不容易轉到可服務的客服卻仍告知：刪除舊的app再重新下載新的有夠傻眼......
24935,3 顆星,之前要客戶設定ach但是要調整金額必須用晶片讀卡機線上改現在連臨櫃櫃員都無法協助請問現在有多少人家裡還有健在的晶片讀卡機？新光都能用超商機台讀卡了功能調整能否與時並進
7519,1 顆星,新版版面不清楚又繁瑣 尤其需要（退出n次 才真正退出……xd）有時還真讓人著急sleepy face
12198,1 顆星,一天一夜一直無法下載完成!!! 手機還自動加溫中...
19591,5 顆星,穩定的系統簡潔的界面使用體驗很好
20497,1 顆星,耗電異常手機當機刪己無法恢復爛
25614,5 顆星,介面很可愛
8531,1 顆星,有點複雜
2675,5 顆星,好用
20278,1 顆星,……很奇怪耶更改了好幾次電子帳單的寄送mail結果mail都沒變耶還是要下個月的寄完才會有變動啊？還是因為簡訊自動輸入的緣故？啊我按拒絕又跳出去了啊……那我是怎樣改……又要上網銀是不是？這個app真的是……
13921,1 顆星,每次看到顯示無網際網路都不會懷疑自己的網路直覺就是app又要更新了
11600,5 顆星,"使用方便順暢,畫面顯示清晰"
16316,1 顆星,沒找到匯出過去個月帳戶交易明細的功能無法提供給其它銀行做為財力證明。
27816,1 顆星,好差的優化幫宣傳一顆星。一直轉圈圈要轉幾天一點也不方便
30015,5 顆星,歡迎使用我的推薦碼：fugm
29754,5 顆星,推薦碼fmmwz~ 萬元(含)以下：利率 . 超過萬元~萬元(含)以內：利率 . 超過萬元以上： 無上限 無上限回饋： n點回饋 有上限回饋： n點回饋 (每月上限 n點)
30615,5 顆星,反應迅速即時 介面清晰直覺
10539,1 顆星,一直說憑證過期叫我更新根本就無法更新爛死了。
1448,1 顆星,垃圾 動不動就打不開
16758,5 顆星,好用
4993,1 顆星,到底為什麼繳自己的信用卡還要輸入網銀密碼啦快改好不好現在都用生物解鎖多少人會記得密碼啦
17142,5 顆星,good
11147,1 顆星,不能登入還一直出現更新畫面點了也不能更新 好爛喔ˋˊ
27108,5 顆星,很方便
20850,1 顆星,沒在用
17770,5 顆星,thumbs up
21932,5 顆星,使用者友善
10765,1 顆星,爛透了app完全不能開更新過後手機變成不相容怎麼辦
17673,1 顆星,一直要更新 功能也沒優化 到底在更新什麼意思
930,5 顆星,功能齊全
13118,5 顆星,流程順暢功能算是齊全
30557,5 顆星,讚
20845,3 顆星,app如不用手續費就好了
15774,1 顆星,無法下載使用
28189,1 顆星,爛
20794,5 顆星,好
15173,5 顆星,讚
22115,1 顆星,登入時常出現錯誤
10189,1 顆星,點進去不給開啟說要更新一直不給更新.....完全無法用=..=重新開機也是無法作用。直接把app刪掉再下載一次也一樣。要不要請工程師看一下。
22276,1 顆星,不予置評
2616,5 顆星,不錯
5582,1 顆星,很爛！爛透了！氣死了！
12121,5 顆星,滿意
15302,1 顆星,美金轉美金怎麼都找不到在呢
15391,5 顆星,好
5339,5 顆星,方便
14267,5 顆星,等網路好久
22977,5 顆星,app使用起來有夠卡的
15784,1 顆星,一直無法下載是怎樣
16085,1 顆星,超難用
20043,5 顆星,網路系統好用 而且速度快
1481,5 顆星,讚
17463,1 顆星,驗證碼無法辨識 都卡一起
2395,5 顆星,很棒
11342,5 顆星,很方便
12740,5 顆星,系統操作簡便
21588,5 顆星,讚
15274,5 顆星,好用
29109,5 顆星,讚。方便smiling face with smiling eyessmiling face with smiling eyessmiling face with smiling eyes
6380,3 顆星,登入輸入不易部份字體太小定存期數選擇少貸款資料少廣告多。
25118,1 顆星,更新後 root的手機不給開啟 多此一舉 只能換別家銀行轉帳了
27768,5 顆星,明確
23624,1 顆星,更新後的版本不穩定作業等待時間久很常出現「系統無回應」不好用...
21143,1 顆星,app無法進行台幣轉定存！一定要用網頁版官網才行！非常不方便！
26594,4 顆星,希望轉帳的類別能有更多項目能新增或修改 預設只有兩個根本不夠用 。
30150,5 顆星,任何操作業務都可以在網上辦理不用跑銀行操作簡單方便。
17748,1 顆星,更新後無法安裝
12314,5 顆星,非常方便
20359,5 顆星,好用
6883,1 顆星,ui很爛
10909,1 顆星,更新後無法開啟不移除程式並重新安裝一樣無法開啟
22541,1 顆星,完全無法登入
5205,5 顆星,超方便 讚
2485,5 顆星,介面清楚使用方便很實用的app。
23680,1 顆星,換匯頁面點進「參考匯率」後按返回鍵沒有動靜手機本身的返回鍵跟app內建返回都無法一定要登出再重新登入才能回到首頁。
29778,5 顆星,app內直接顯示跨提及跨轉次數很貼心。 不過每個月的n點回饋是否有達上限則是不容易計算希望回饋能每月獨立查詢這樣才可以計算是否有超額。
26405,5 顆星,台新線上app很方便每個月還有各次的免費跨轉＆免費跨提超喜歡這個服務的超棒
26961,5 顆星,讚唷
25534,5 顆星,內容清楚網路快速基金選項多元。
40,1 顆星,預約轉帳沒有轉 檢查帳戶金額 轉出轉入的帳戶 都正確 還好我有檢查看有沒有執行轉帳 不然信用直接被影響
20152,5 顆星,非常好用
25320,1 顆星,一直閃退
4719,1 顆星,每次轉帳都要扣元手續費真的太貴了吧！ 為什麼沒有優惠福利給銀行的商務客戶呢？
12641,5 顆星,app程式寫的不錯辛苦了
